[Tue Apr 18 20:47:25 2023] ThreadID[33560]	Started game.
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.012
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -19.150400 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.013
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -16.233000 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.014
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 16.275499 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.015
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 19.193001 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.016
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 10.500800 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.017
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 13.418200 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.018
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.758500 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.019
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.675900 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.020
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.016300 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.021
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.901200 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.022
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -6.780700 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.023
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -3.863300 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.024
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -12.555400 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.025
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -9.638000 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.026
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -18.579901 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.027
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -15.662500 Y 3.831700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.028
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 15.705000 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.029
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 18.622499 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.030
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 9.930300 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.031
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 12.847700 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.032
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.188000 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.033
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.105400 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.034
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.586800 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.035
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.330700 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.036
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -7.351200 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.037
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -4.433800 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.038
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -13.125900 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.039
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -10.208500 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.040
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -19.150400 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.041
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -16.233000 Y 6.657500 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.042
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 16.275499 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.043
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 19.193001 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.044
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 10.500800 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.045
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 13.418200 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.046
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.758500 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.047
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.675900 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.048
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.016300 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.049
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.901200 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.050
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -6.780700 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.051
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -3.863300 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.052
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -12.555400 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.053
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -9.638000 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.054
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -18.579901 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.055
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -15.662500 Y 9.645400 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.056
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 16.275499 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.057
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 19.193001 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.058
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 10.500800 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.059
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 13.418200 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.060
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.758500 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.061
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.675900 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.062
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.016300 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.063
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.901200 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.064
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -6.780700 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.065
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -3.863300 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.066
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -12.555400 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.067
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -9.638000 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.068
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -18.579901 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.069
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -15.662500 Y 12.513100 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.070
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 15.705000 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.071
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 18.622499 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.072
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 9.930300 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.073
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 12.847700 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.074
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.188000 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.075
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.105400 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.076
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.586800 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.077
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.330700 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.078
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -7.351200 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.079
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -4.433800 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.080
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -19.730600 Y 6.755500 Z 11.739300
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.081
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -10.208500 Y 0.843700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.082
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -19.730600 Y 9.676500 Z 11.739300
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.083
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -19.730600 Y 12.604500 Z 11.739300
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.084
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 16.275499 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.085
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 19.193001 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.086
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 10.500800 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.087
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 13.418200 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.088
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.758500 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.089
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.675900 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.090
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.016300 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.091
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.901200 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.092
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -6.780700 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.093
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -3.863300 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.094
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -19.730600 Y 0.884800 Z 11.739300
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.095
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -9.638000 Y 3.831700 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.096
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -19.730600 Y 3.812800 Z 11.739300
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.097
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -18.476101 Y 0.843700 Z 13.209000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.098
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 15.705000 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.099
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 18.622499 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.100
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 9.930300 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.101
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 12.847700 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.102
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.188000 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.103
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.105400 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.104
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.586800 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.105
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.330700 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.106
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -7.351200 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.107
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -4.433800 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.108
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -17.905600 Y 3.831700 Z 13.209000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.109
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -10.208500 Y 6.657500 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.110
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -18.476101 Y 6.657500 Z 13.209000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.111
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -17.905600 Y 9.645400 Z 13.209000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.112
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 16.275499 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.113
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 19.193001 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.114
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 10.500800 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.115
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 13.418200 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.116
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.758500 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.117
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.675900 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.118
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.016300 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.119
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.901200 Y 9.645400 Z 10.097200
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.120
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -6.780700 Y 9.645400 Z 10.097200
